Var,TotalSols,PosLitSols,NegLitSols,EntropyShan
1,500,0.000000,1.000000,-0.000000
2,500,0.016000,0.984000,0.118350
3,500,0.264000,0.736000,0.832723
4,500,0.586000,0.414000,0.978553
5,500,0.148000,0.852000,0.604813
6,500,1.000000,0.000000,-0.000000
7,500,0.578000,0.422000,0.982373
8,500,0.420000,0.580000,0.981454
9,500,0.014000,0.986000,0.106274
10,500,0.384000,0.616000,0.960818
11,500,0.000000,1.000000,-0.000000
12,500,0.106000,0.894000,0.487732
13,500,0.014000,0.986000,0.106274
14,500,1.000000,0.000000,-0.000000
15,500,0.000000,1.000000,-0.000000
16,500,0.792000,0.208000,0.737642
17,500,0.690000,0.310000,0.893173
18,500,0.014000,0.986000,0.106274
19,500,0.420000,0.580000,0.981454
20,500,0.124000,0.876000,0.540750
21,500,0.992000,0.008000,0.067222
22,500,1.000000,0.000000,-0.000000
23,500,0.388000,0.612000,0.963497
24,500,1.000000,0.000000,-0.000000
25,500,0.000000,1.000000,-0.000000
26,500,0.246000,0.754000,0.804876
27,500,1.000000,0.000000,-0.000000
28,500,1.000000,0.000000,-0.000000
29,500,0.754000,0.246000,0.804876
30,500,0.250000,0.750000,0.811278
31,500,0.000000,1.000000,-0.000000
32,500,0.600000,0.400000,0.970951
33,500,0.236000,0.764000,0.788325
34,500,0.222000,0.778000,0.763803
35,500,0.048000,0.952000,0.277840
36,500,0.014000,0.986000,0.106274
37,500,0.698000,0.302000,0.883722
38,500,0.000000,1.000000,-0.000000
39,500,0.076000,0.924000,0.387926
40,500,0.868000,0.132000,0.562898
41,500,0.618000,0.382000,0.959442
42,500,0.380000,0.620000,0.958042
43,500,0.120000,0.880000,0.529361
44,500,0.060000,0.940000,0.327445
45,500,0.408000,0.592000,0.975438
46,500,0.496000,0.504000,0.999954
47,500,0.374000,0.626000,0.953694
48,500,0.124000,0.876000,0.540750
49,500,1.000000,0.000000,-0.000000
50,500,1.000000,0.000000,-0.000000
51,500,1.000000,0.000000,-0.000000
52,500,0.820000,0.180000,0.680077
53,500,1.000000,0.000000,-0.000000
54,500,0.554000,0.446000,0.991570
55,500,0.134000,0.866000,0.568307
56,500,0.054000,0.946000,0.303152
57,500,0.838000,0.162000,0.639073
58,500,0.572000,0.428000,0.984990
59,500,0.748000,0.252000,0.814433
60,500,0.798000,0.202000,0.725910
61,500,0.450000,0.550000,0.992774
62,500,0.928000,0.072000,0.373343
63,500,0.986000,0.014000,0.106274
64,500,1.000000,0.000000,-0.000000
65,500,0.944000,0.056000,0.311357
66,500,0.726000,0.274000,0.847146
67,500,0.986000,0.014000,0.106274
68,500,0.000000,1.000000,-0.000000
69,500,0.758000,0.242000,0.798350
70,500,1.000000,0.000000,-0.000000
#Estimated entropy: 0.472847
